Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,ScientificName,TaxonId,Genome,LastChange,MSLLastChange,ProposalLast Change 
15850,,,,,,,,,,,Alphasatellitidae,Geminialphasatellitinae,Ageyesisatellite,,Ageyesisatellite gossypiarabiaense,ICTV20175664,ssDNA(+),"Renamed,",39,2023.036P.Geminialphasatellitinae_rename.zip
15851,,,,,,,,,,,Alphasatellitidae,Geminialphasatellitinae,Clecrusatellite,,Clecrusatellite benincasae,ICTV201907290,ssDNA(+),"Renamed,",39,2023.036P.Geminialphasatellitinae_rename.zip
15852,,,,,,,,,,,Alphasatellitidae,Geminialphasatellitinae,Clecrusatellite,,Clecrusatellite capsici,ICTV201907289,ssDNA(+),"Renamed,",39,2023.036P.Geminialphasatellitinae_rename.zip
15853,,,,,,,,,,,Alphasatellitidae,Geminialphasatellitinae,Clecrusatellite,,Clecrusatellite chiapasense,ICTV202008800,ssDNA(+),"Renamed,",39,2023.036P.Geminialphasatellitinae_rename.zip
15934,,,,,,,,,,,Ampullaviridae,,Bottigliavirus,,Bottigliavirus krisuvikense,ICTV202009184,dsDNA,"Renamed,",39,2023.001A.Archaeal_binomials.zip
15935,,,,,,,,,,,Ampullaviridae,,Bottigliavirus,,Bottigliavirus pozzuoliense,ICTV20083363,dsDNA,"Renamed,",39,2023.001A.Archaeal_binomials.zip
15948,,,,,,,,,,,Fuselloviridae,,Alphafusellovirus,,Alphafusellovirus beppuense,ICTV19901199,dsDNA,"Renamed,",39,2023.001A.Archaeal_binomials.zip
15949,,,,,,,,,,,Fuselloviridae,,Alphafusellovirus,,Alphafusellovirus hengillense,ICTV20125800,dsDNA,"Renamed,",39,2023.001A.Archaeal_binomials.zip
15950,,,,,,,,,,,Fuselloviridae,,Alphafusellovirus,,Alphafusellovirus hveragerdiense,ICTV20125799,dsDNA,"Renamed,",39,2023.001A.Archaeal_binomials.zip
15980,,,,,,,,,,,Polydnaviriformidae,,Bracoviriform,,Bracoviriform altitudinis,ICTV19951801,dsDNA,"Renamed,",37,2021.006D.R.Polydnaviriformidae_1renfam_3rensp.zip
15981,,,,,,,,,,,Polydnaviriformidae,,Bracoviriform,,Bracoviriform argentifrontis,ICTV19951798,dsDNA,"Renamed,",37,2021.006D.R.Polydnaviriformidae_1renfam_3rensp.zip
16035,,,,,,,,,,,Pospiviroidae,,Apscaviroid,,Apscaviroid alphaflavivitis,ICTV19911900,ssRNA,"Renamed,",39,2023.032P.Avsunviroidae_and_Pospiviroidae_rename_sp.zip
16036,,,,,,,,,,,Pospiviroidae,,Apscaviroid,,Apscaviroid austravitis,ICTV19911889,ssRNA,"Renamed,",39,2023.032P.Avsunviroidae_and_Pospiviroidae_rename_sp.zip
16037,,,,,,,,,,,Pospiviroidae,,Apscaviroid,,Apscaviroid betadiospyri,ICTV202113873,ssRNA,"Renamed,",39,2023.032P.Avsunviroidae_and_Pospiviroidae_rename_sp.zip
16074,,,,,,,,,,,Pospiviroidae,,Pospiviroid,,Pospiviroid parvicapsici,ICTV20115412,ssRNA,"Renamed,",39,2023.032P.Avsunviroidae_and_Pospiviroidae_rename_sp.zip
16075,,,,,,,,,,,Rhodogtaviriformidae,,Dinogtaviriform,,Dinogtaviriform tomaschi,ICTV202215072,dsDNA,"New,",38,2022.001G.GTA_viriforms.zip
16076,,,,,,,,,,,Rhodogtaviriformidae,,Rhodobactegtaviriform,,Rhodobactegtaviriform marrsi,ICTV202215073,dsDNA,"New,",38,2022.001G.GTA_viriforms.zip
16077,,,,,,,,,,,Rhodogtaviriformidae,,Rhodovulugtaviriform,,Rhodovulugtaviriform kikuchii,ICTV202215074,dsDNA,"New,",38,2022.001G.GTA_viriforms.zip
16079,,,,,,,,,,,Spiraviridae,,Alphaspiravirus,,Alphaspiravirus yamagawaense,ICTV20133580,ssDNA(+),"Renamed,",39,2023.001A.Archaeal_binomials.zip
16080,,,,,,,,,,,Thaspiviridae,,Nitmarvirus,,Nitmarvirus maris,ICTV201908059,dsDNA,"Renamed,",39,2023.001A.Archaeal_binomials.zip
16212,,,,,,,,,,,,,Dinodnavirus,,Heterocapsa circularisquama DNA virus 01,ICTV20115373,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf
16213,,,,,,,,,,,,,Rhizidiovirus,,Rhizidiomyces virus,ICTV19871436,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf
